skill	state	lines	clasificacion	justificacion
context-caching	Incomplete	95	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
context-dome	Incomplete	89	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
context-interview-conductor	Incomplete	132	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
context-optimized-dev	Incomplete	148	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
context-rot-strategy	Incomplete	147	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
context-task-classifier	Incomplete	96	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
cost-management	Incomplete	128	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
dag-scheduling	Incomplete	141	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
dependency-scanner	Incomplete	92	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
design-an-interface	Incomplete	107	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
developer-experience	Incomplete	138	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
devops-validation	Incomplete	119	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
diagram-generation	Incomplete	135	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
diagram-import	Incomplete	131	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
doc-quality-feedback	Incomplete	85	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
dynamic-web-tester	Incomplete	92	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
ecosystem-watcher	Incomplete	85	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
emergency-mode	Incomplete	73	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
enterprise-analytics	Incomplete	66	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
enterprise-onboarding	Incomplete	90	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
epistemic-humility	Incomplete	132	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
evaluations-framework	Incomplete	111	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
evidence-first-development	Incomplete	96	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
executive-reporting	Incomplete	122	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
feasibility-probe	Incomplete	85	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
git-secret-scanner	Incomplete	101	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
governance-enterprise	Incomplete	89	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
grill-me	Incomplete	65	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
human-code-map	Incomplete	150	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
iac-security-scanner	Incomplete	102	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
legal-compliance	Incomplete	128	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
lightpanda-browser	Incomplete	103	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
managed-content	Incomplete	73	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
meeting-transcript-extract	Incomplete	91	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
memvid-backup	Incomplete	123	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
meta-reflection	Incomplete	128	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
mobile-security-scanner	Incomplete	111	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
model-upgrade-audit	Incomplete	84	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
mutation-audit	Incomplete	134	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
network-recon	Incomplete	97	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
nuclei-scanning	Incomplete	116	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
obscura-browser	Stub	101	DELETE	stub sin cuerpo ni DOMAIN: candidata a eliminación (propuesta, requiere revisión)
onboarding-dev	Incomplete	136	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
orgchart-import	Incomplete	148	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
org-meeting-capture	Incomplete	60	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
org-political-landscape	Incomplete	59	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
org-registrar	Stub	67	DELETE	stub sin cuerpo ni DOMAIN: candidata a eliminación (propuesta, requiere revisión)
org-stakeholder-mapper	Incomplete	67	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
overnight-sprint	Incomplete	150	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
parallel-dispatch	Incomplete	79	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
pbi-decomposition	Incomplete	148	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
pentesting	Incomplete	132	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
performance-audit	Incomplete	113	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
personal-vault	Incomplete	85	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
pr-agent-judge	Incomplete	84	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
product-discovery	Incomplete	89	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
professional-domain	Stub	30	DELETE	stub sin cuerpo ni DOMAIN: candidata a eliminación (propuesta, requiere revisión)
project-update	Incomplete	137	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
prompt-optimizer	Incomplete	132	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
prospectiva-basica	Stub	61	DELETE	stub sin cuerpo ni DOMAIN: candidata a eliminación (propuesta, requiere revisión)
rbac-management	Incomplete	126	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
reflection-validation	Incomplete	150	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
regulatory-compliance	Incomplete	122	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
reranker	Incomplete	115	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
resource-references	Incomplete	97	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
risk-scoring	Incomplete	62	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
robotica-diseno	Incomplete	125	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
rules-traceability	Incomplete	94	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
savia-dual	Incomplete	104	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
savia-flow-practice	Incomplete	121	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
savia-hub-sync	Incomplete	124	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
savia-identity	Stub	48	DELETE	stub sin cuerpo ni DOMAIN: candidata a eliminación (propuesta, requiere revisión)
savia-labs	Incomplete	64	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
savia-memory	Incomplete	113	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
savia-school	Incomplete	51	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
savia-vaults	Incomplete	76	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
scaling-operations	Incomplete	78	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
scheduled-messaging	Incomplete	119	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
skill-evaluation	Incomplete	64	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
smart-calendar	Incomplete	143	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
smart-routing	Incomplete	109	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
sovereignty-auditor	Incomplete	128	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
spec-driven-development	Incomplete	147	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
sprint-management	Incomplete	128	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
tabular-intelligence	Stub	36	DELETE	stub sin cuerpo ni DOMAIN: candidata a eliminación (propuesta, requiere revisión)
tdd-vertical-slices	Incomplete	137	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
team-coordination	Incomplete	133	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
team-onboarding	Incomplete	108	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
tech-research-agent	Incomplete	150	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
_template_python	Incomplete	56	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
test-architect	Incomplete	119	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
tier3-probes	Incomplete	114	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
time-tracking-report	Incomplete	131	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
tls-security-checker	Incomplete	103	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
topic-cluster	Incomplete	136	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
transcriptor-digest	Incomplete	50	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
understand-anything	Incomplete	118	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
verification-lattice	Incomplete	150	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
voice-inbox	Incomplete	113	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
web-research	Incomplete	95	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
weekly-report	Stub	38	DELETE	stub sin cuerpo ni DOMAIN: candidata a eliminación (propuesta, requiere revisión)
wellbeing-guardian	Incomplete	127	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
workspace-integrity	Incomplete	102	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
write-a-skill	Incomplete	125	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
zoom-out	Incomplete	59	REFACTOR	completar tests/DOMAIN para calibrar (propuesta)
